Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
198,R.J. Yokelson,The tropical forest and fire emissions experiment: Laboratory fire measurements and synthesis of campaign data,2008,Atmospheric Chemistry and Physics,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=46749110432&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=46749110432&origin=inward,6,2025-04-16T06:11:00Z,Article,10.5194/acp-8-3509-2008,1680-7316,https://api.elsevier.com/content/abstract/scopus_id/46749110432,8,13,3509,3527,198,11.65,198,1,17,NA,NA,NA
187,R.J. Yokelson,The tropical forest and fire emissions experiment: Overview and airborne fire emission factor measurements,2007,Atmospheric Chemistry and Physics,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=35148870980&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35148870980&origin=inward,7,2025-04-16T06:11:00Z,Article,10.5194/acp-7-5175-2007,1680-7316,https://api.elsevier.com/content/abstract/scopus_id/35148870980,7,19,5175,5196,187,10.39,187,1,18,NA,NA,NA
85,P. Guyon,Airborne measurements of trace gas and aerosol particle emissions from biomass burning in Amazonia,2005,Atmospheric Chemistry and Physics,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=30344481106&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=30344481106&origin=inward,13,2025-04-16T06:11:00Z,Article,10.5194/acp-5-2989-2005,1680-7316,https://api.elsevier.com/content/abstract/scopus_id/30344481106,5,11,2989,3002,85,4.25,85,1,20,NA,NA,NA
59,P. Guyon,Physical properties and concentration of aerosol particles over the Amazon tropical forest during background and biomass burning conditions,2003,Atmospheric Chemistry and Physics,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0347790219&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0347790219&origin=inward,21,2025-04-16T06:11:00Z,Article,10.5194/acp-3-951-2003,1680-7316,https://api.elsevier.com/content/abstract/scopus_id/0347790219,3,4,951,967,59,2.68,59,1,22,NA,NA,NA
467,S.K. Satheesh,Radiative effects of natural aerosols: A review,2005,Atmospheric Environment,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S135223100500018X,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=16344382454&origin=inward,1,2025-04-16T06:11:00Z,Article,10.1016/j.atmosenv.2004.12.029,1352-2310,https://api.elsevier.com/content/abstract/scopus_id/16344382454,39,11,2089,2110,467,23.35,467,1,20,NA,NA,NA
160,S.N. Beegum,Spatial distribution of aerosol black carbon over India during pre-monsoon season,2009,Atmospheric Environment,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S1352231008010753,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58649102899&origin=inward,10,2025-04-16T06:11:00Z,Article,10.1016/j.atmosenv.2008.11.042,1352-2310,https://api.elsevier.com/content/abstract/scopus_id/58649102899,43,5,1071,1078,160,10,160,1,16,NA,NA,NA
102,H. Singh,Pollution influences on atmospheric composition and chemistry at high northern latitudes: Boreal and California forest fire emissions,2010,Atmospheric Environment,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S1352231010007004,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77957020752&origin=inward,12,2025-04-16T06:11:00Z,Article,10.1016/j.atmosenv.2010.08.026,1352-2310,https://api.elsevier.com/content/abstract/scopus_id/77957020752,44,36,4553,4564,102,6.8,102,1,15,NA,NA,NA
57,G. Wang,"Comparison of organic compositions in dust storm and normal aerosol samples collected at Gosan, Jeju Island, during spring 2005",2009,Atmospheric Environment,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S1352231008008923,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=57949106170&origin=inward,22,2025-04-16T06:11:00Z,Article,10.1016/j.atmosenv.2008.09.046,1352-2310,https://api.elsevier.com/content/abstract/scopus_id/57949106170,43,2,219,227,57,3.56,57,1,16,NA,NA,NA
2,B.P. Shukla,Retrieval of Carbon monoxide profiles over Indian region using MOPITT data,2009,Atmospheric Environment,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S1352231009003835,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70149107241&origin=inward,77,2025-04-16T06:11:00Z,Article,10.1016/j.atmosenv.2009.04.037,1352-2310,https://api.elsevier.com/content/abstract/scopus_id/70149107241,43,22,3472,3480,2,0.13,2,1,16,NA,NA,NA
30,M. Padmanaba,Finding and promoting a local conservation consensus in a globally important tropical forest landscape,2007,Biodiversity and Conservation,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33846963497&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33846963497&origin=inward,30,2025-04-16T06:11:00Z,Article,10.1007/s10531-006-9009-x,0960-3115,https://api.elsevier.com/content/abstract/scopus_id/33846963497,16,1,137,151,30,1.67,30,1,18,NA,NA,NA
34,A. Bocchiglieri,Composition and diversity of medium and large size mammals in the Cerrado of central Brazil,2010,Biota Neotropica,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650727999&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650727999&origin=inward,27,2025-04-16T06:11:00Z,Article,10.1590/s1676-06032010000300019,1678-6424,https://api.elsevier.com/content/abstract/scopus_id/78650727999,10,3,169,176,34,2.27,34,1,15,NA,NA,NA
0,M. Granero,"Impact of the old dam upon the water quality at the intake in San Roque Reservoir (Cordoba, Argentina)",2004,Bridging the Gap: Meeting the World's Water and Environmental Resources Challenges - Proceedings of the World Water and Environmental Resources Congress 2001,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=75649135571&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=75649135571&origin=inward,92,2025-04-16T06:11:00Z,Conference Paper,10.1061/40569(2001)389,NA,https://api.elsevier.com/content/abstract/scopus_id/75649135571,111,NA,NA,NA,0,0,0,1,21,NA,NA,NA
27,A. Baldwin,Ethnoscaping Canada's boreal forest: Liberal whiteness and its disaffiliation from colonial space,2009,Canadian Geographer,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=71449117712&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=71449117712&origin=inward,32,2025-04-16T06:11:00Z,Article,10.1111/j.1541-0064.2009.00260.x,0008-3658,https://api.elsevier.com/content/abstract/scopus_id/71449117712,53,4,427,443,27,1.69,27,1,16,NA,NA,NA
13,J. McBeath,Comparative environmental politics,2006,Comparative Environmental Politics,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84891453803&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891453803&origin=inward,49,2025-04-16T06:11:00Z,Book,10.1007/1-4020-4763-0,NA,https://api.elsevier.com/content/abstract/scopus_id/84891453803,25,NA,1,195,13,0.68,13,1,19,NA,NA,NA
5,Q. Li,The effects of liberalism on the terrestrial environment,2007,Conflict Management and Peace Science,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34547804302&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34547804302&origin=inward,66,2025-04-16T06:11:00Z,Article,10.1080/07388940701468492,0738-8942,https://api.elsevier.com/content/abstract/scopus_id/34547804302,24,3,219,238,5,0.28,5,1,18,NA,NA,NA
0,C. Pascual,Conclusion and policy implications,2010,Confronting Poverty: Weak States and U.S. National Security,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84894951908&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84894951908&origin=inward,87,2025-04-16T06:11:00Z,Book Chapter,NA,NA,https://api.elsevier.com/content/abstract/scopus_id/84894951908,NA,NA,202,230,0,0,0,1,15,NA,NA,NA
0,B.B. Weinzierl,Radiatively-driven processes in forest fire and desert dust plumes,2008,DLR Deutsches Zentrum fur Luft- und Raumfahrt e.V. - Forschungsberichte,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=57149122418&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=57149122418&origin=inward,96,2025-04-16T06:11:00Z,Article,NA,1434-8454,https://api.elsevier.com/content/abstract/scopus_id/57149122418,NA,11,1,179,0,0,0,1,17,NA,NA,NA
42,V. Rull,Paleoecology of Easter Island: Evidence and uncertainties,2010,Earth-Science Reviews,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S0012825210000127,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77950515966&origin=inward,23,2025-04-16T06:11:00Z,Review,10.1016/j.earscirev.2010.02.003,0012-8252,https://api.elsevier.com/content/abstract/scopus_id/77950515966,99,1,50,60,42,2.8,42,1,15,NA,NA,NA
397,M.T. Bennett,China's sloping land conversion program: Institutional innovation or business as usual?,2008,Ecological Economics,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S0921800907004971,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=43049176429&origin=inward,2,2025-04-16T06:11:00Z,Article,10.1016/j.ecolecon.2007.09.017,0921-8009,https://api.elsevier.com/content/abstract/scopus_id/43049176429,65,4,699,711,397,23.35,397,1,17,NA,NA,NA
79,J. Solans Vila,Post-fire vegetation regrowth detection in the Deiva Marina region (Liguria-Italy) using Landsat TM and ETM+ data,2010,Ecological Modelling,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S0304380009001872,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70449727213&origin=inward,15,2025-04-16T06:11:00Z,Article,10.1016/j.ecolmodel.2009.03.011,0304-3800,https://api.elsevier.com/content/abstract/scopus_id/70449727213,221,1,75,84,79,5.27,79,1,15,NA,NA,NA
4,F.E. Hayes,Status and conservation of the critically endangered Trinidad piping-guan Aburria pipile,2009,Endangered Species Research,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=65549151703&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=65549151703&origin=inward,68,2025-04-16T06:11:00Z,Article,10.3354/esr00184,1863-5407,https://api.elsevier.com/content/abstract/scopus_id/65549151703,7,1,77,84,4,0.25,4,1,16,NA,NA,NA
16,C.A. Alves,Organic speciation of atmospheric particles in Alvão Natural Park (Portugal),2010,Environmental Monitoring and Assessment,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77955419962&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955419962&origin=inward,43,2025-04-16T06:11:00Z,Article,10.1007/s10661-009-1116-1,0167-6369,https://api.elsevier.com/content/abstract/scopus_id/77955419962,168,1,321,337,16,1.07,16,1,15,NA,NA,NA
167,X. Wang,"Passive air sampling of organochlorine pesticides, polychlorinated biphenyls, and polybrominated diphenyl ethers across the tibetan plateau",2010,Environmental Science and Technology,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77950933701&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77950933701&origin=inward,8,2025-04-16T06:11:00Z,Article,10.1021/es9033759,0013-936X,https://api.elsevier.com/content/abstract/scopus_id/77950933701,44,8,2988,2993,167,11.13,167,1,15,NA,NA,NA
0,C. Maire,Storm forest damage mapping based on VHR InSAR data,2004,"European Space Agency, (Special Publication) ESA SP",NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=18644378764&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=18644378764&origin=inward,103,2025-04-16T06:11:00Z,Conference Paper,NA,0379-6566,https://api.elsevier.com/content/abstract/scopus_id/18644378764,NA,550,435,440,0,0,0,1,21,NA,NA,NA
0,P. Meyer,Costa Rica: Background and U.S. Relations,2010,"Foreign Policy of the United States, Volume 5",NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029944961&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029944961&origin=inward,85,2025-04-16T06:11:00Z,Book Chapter,NA,NA,https://api.elsevier.com/content/abstract/scopus_id/85029944961,NA,NA,89,100,0,0,0,1,15,NA,NA,NA
22,A. Astel,Comparison of litterfall and nutrient return in a Vaccinio uliginosi-Betuletum pubescentis and an Empetro nigri-Pinetum forest ecosystem in northern Poland,2009,Forest Ecology and Management,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S0378112709002059,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=67349126500&origin=inward,36,2025-04-16T06:11:00Z,Article,10.1016/j.foreco.2009.03.026,0378-1127,https://api.elsevier.com/content/abstract/scopus_id/67349126500,257,12,2331,2341,22,1.38,22,1,16,NA,NA,NA
19,K. Moon,The role and activities of NGOs in reforestation in the northeast Asian region,2004,Forest Ecology and Management,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S0378112704004402,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=5344258997&origin=inward,39,2025-04-16T06:11:00Z,Conference Paper,10.1016/j.foreco.2004.06.013,0378-1127,https://api.elsevier.com/content/abstract/scopus_id/5344258997,201,1,75,81,19,0.9,19,1,21,NA,NA,NA
19,A. Grainger,A model of policy changes to secure sustainable forest management and control of deforestation in the Philippines,2006,Forest Policy and Economics,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S1389934104000851,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=30644469995&origin=inward,40,2025-04-16T06:11:00Z,Article,10.1016/j.forpol.2004.05.005,1389-9341,https://api.elsevier.com/content/abstract/scopus_id/30644469995,8,1,67,80,19,1,19,1,19,NA,NA,NA
22,M. Ter-Mikaelian,Fact and fantasy about forest carbon,2008,Forestry Chronicle,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=65649102950&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=65649102950&origin=inward,37,2025-04-16T06:11:00Z,Article,10.5558/tfc84166-2,0015-7546,https://api.elsevier.com/content/abstract/scopus_id/65649102950,84,2,166,171,22,1.29,22,1,17,NA,NA,NA
0,W.L. Wagner,A continental forest policy for North America?,2007,Forestry Chronicle,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=35648992587&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35648992587&origin=inward,101,2025-04-16T06:11:00Z,Review,10.5558/tfc83658-5,0015-7546,https://api.elsevier.com/content/abstract/scopus_id/35648992587,83,5,658,665,0,0,0,1,18,NA,NA,NA
69,L.A. Bruijnzeel,Tropical montane cloud forest: A unique hydrological case,2005,"Forests, Water and People in the Humid Tropics: Past, Present and Future Hydrological Research for Integrated Land and Water Management",NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84928859677&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84928859677&origin=inward,18,2025-04-16T06:11:00Z,Book Chapter,10.1017/CBO9780511535666.024,NA,https://api.elsevier.com/content/abstract/scopus_id/84928859677,NA,NA,462,484,69,3.45,69,1,20,NA,NA,NA
38,D.B. Metcalfe,Impacts of experimentally imposed drought on leaf respiration and morphology in an Amazon rain forest,2010,Functional Ecology,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77955130828&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955130828&origin=inward,25,2025-04-16T06:11:00Z,Article,10.1111/j.1365-2435.2009.01683.x,0269-8463,https://api.elsevier.com/content/abstract/scopus_id/77955130828,24,3,524,533,38,2.53,38,1,15,NA,NA,NA
30,R. Slater,"Between a rock and a hard place: Contested livelihoods in Qwaqwa National Park, South Africa",2002,Geographical Journal,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036327225&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036327225&origin=inward,31,2025-04-16T06:11:00Z,Article,10.1111/1475-4959.00042,0016-7398,https://api.elsevier.com/content/abstract/scopus_id/0036327225,168,2,116,129,30,1.3,30,1,23,NA,NA,NA
5,L.G. Dorsey,Preaching conservation: Theodore roosevelt and the rhetoric of civil religion,2004,Green Talk in The White House: The Rhetorical Presidency Encounters Ecology,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84555222791&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84555222791&origin=inward,64,2025-04-16T06:11:00Z,Book Chapter,NA,NA,https://api.elsevier.com/content/abstract/scopus_id/84555222791,NA,NA,37,61,5,0.24,5,1,21,NA,NA,NA
13,A. Zhouri,O ativismo transnacional pela Amazônia: Entre a ecologia política e o ambientalismo de resultados,2006,Horizontes Antropologicos,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33748742533&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33748742533&origin=inward,50,2025-04-16T06:11:00Z,Article,10.1590/S0104-71832006000100008,0104-7183,https://api.elsevier.com/content/abstract/scopus_id/33748742533,12,25,139,169,13,0.68,13,1,19,NA,NA,NA
26,N. Oreskes,My facts are better than your facts: Spreading good news about global warming,2010,How Well do Facts Travel? The Dissemination of Reliable Knowledge,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84923637938&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923637938&origin=inward,34,2025-04-16T06:11:00Z,Book Chapter,10.1017/CBO9780511762154.008,NA,https://api.elsevier.com/content/abstract/scopus_id/84923637938,NA,NA,136,166,26,1.73,26,1,15,NA,NA,NA
11,M. Diagne,Multisource data integration for fire risk management: The local test of a global approach,2010,IEEE Geoscience and Remote Sensing Letters,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=75449094465&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=75449094465&origin=inward,54,2025-04-16T06:11:00Z,Article,10.1109/LGRS.2009.2023926,1545-598X,https://api.elsevier.com/content/abstract/scopus_id/75449094465,7,1,93,97,11,0.73,11,1,15,NA,NA,NA
0,P. Stephens,Monitoring deforestation in the amazon rainforest; DMC imaging campaigns since 2005 in support of Brazil,2008,"International Astronautical Federation - 59th International Astronautical Congress 2008, IAC 2008",NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77950494775&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77950494775&origin=inward,91,2025-04-16T06:11:00Z,Conference Paper,NA,NA,https://api.elsevier.com/content/abstract/scopus_id/77950494775,5,NA,2819,2826,0,0,0,1,17,NA,NA,NA
12,D. Gritten,Assessing the impact of environmental campaigns against the activities of a pulp and paper company in Indonesia,2007,International Forestry Review,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=67549146661&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=67549146661&origin=inward,51,2025-04-16T06:11:00Z,Article,10.1505/ifor.9.4.819,1465-5489,https://api.elsevier.com/content/abstract/scopus_id/67549146661,9,4,819,834,12,0.67,12,1,18,NA,NA,NA
8,E.L. Servello,Tropical land cover change detection with polarimetric SAR data,2010,International Geoscience and Remote Sensing Symposium (IGARSS),NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650900338&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650900338&origin=inward,59,2025-04-16T06:11:00Z,Conference Paper,10.1109/IGARSS.2010.5653215,NA,https://api.elsevier.com/content/abstract/scopus_id/78650900338,NA,NA,1477,1480,8,0.53,8,1,15,NA,NA,NA
4,L. Soler,Statistical analysis and feedback exploration of land use change determinants at local scale in the Brazilian Amazon,2007,International Geoscience and Remote Sensing Symposium (IGARSS),NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=82355161112&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82355161112&origin=inward,67,2025-04-16T06:11:00Z,Conference Paper,10.1109/IGARSS.2007.4423591,NA,https://api.elsevier.com/content/abstract/scopus_id/82355161112,NA,NA,3462,3465,4,0.22,4,1,18,NA,NA,NA
3,H. Balzter,Potential of Polarimetric SAR Interferometry for Forest Carbon Accounting,2003,International Geoscience and Remote Sensing Symposium (IGARSS),NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0242626783&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0242626783&origin=inward,76,2025-04-16T06:11:00Z,Conference Paper,NA,NA,https://api.elsevier.com/content/abstract/scopus_id/0242626783,3,NA,1945,1947,3,0.14,3,1,22,NA,NA,NA
1,J.C. Fox,"Protocols for field sampling of forest carbon pools for Monitoring, Reporting and Verification of REDD",2010,International Geoscience and Remote Sensing Symposium (IGARSS),NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650890677&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650890677&origin=inward,82,2025-04-16T06:11:00Z,Conference Paper,10.1109/IGARSS.2010.5652830,NA,https://api.elsevier.com/content/abstract/scopus_id/78650890677,NA,NA,1509,1512,1,0.07,1,1,15,NA,NA,NA
