,Cites,Authors,Title,Inclusion_rens,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,source_dataset,title_lower,unique_id
11,2,D.H. Hoekman,A brief review of microwave forest signature measurements in the Netherlands and the perspective for a European research programme,0,1990,International Journal of Remote Sensing,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0025570960&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025570960&origin=inward,37,Article,10.1080/01431169008955088,0143-1161,https://api.elsevier.com/content/abstract/scopus_id/0025570960,11,7,1193,1203,2,0.06,2,1,35,NA,NA,NA,scopus,a brief review of microwave forest signature measurements in the netherlands and the perspective for a european research programme,paper_15
12,35,"Dias, MAFS; Petersen, W; Dias, PLS; Cifelli, R; Betts, AK; Longo, M; Gomes, AM; Fisch, GF; Lima, MA; Antonio, MA; Albrecht, RI",A case study of convective organization into precipitating lines in the Southwest Amazon during the WETAMC and TRMM-LBA,0,2002,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,AMER GEOPHYSICAL UNION,http://dx.doi.org/10.1029/2001JD000375,NA,NA,Article,10.1029/2001JD000375,2169-897X,NA,107,D20,NA,NA,NA,NA,NA,NA,NA,"A case study of convective development in the Southwest Amazon region during the Wet Season Atmospheric Mesoscale Campaign (WETAMC) and Tropical Rainfall Measuring Mission (TRMM)/Large-Scale Biosphere-Atmosphere (LBA) Experiment in Amazonia is presented. The convective development during 7 February 1999 is shown to occur during a period of very weak large-scale forcing in the presence of topography and deforestation. The available data include dual Doppler radar analysis, radiosonde launches, and surface and boundary layer observations. The observational analysis is complemented with a series of model simulations using the RAMS with 2-km resolution over a 300 km 300 km area forced by a morning radiosonde profile. A comparison of the observed and simulated thermodynamic transformation of the boundary layer and of the formation of convective lines, and of their kinematic and microphysical properties is presented. It is shown that only a few very deep and intense convective cells are necessary to explain the overall precipitating line formation and that discrete propagation and coupling with upper atmosphere circulations may explain the appearance of several lines. The numerical simulation indicates that topography may be the cause of initial convective development, although later on the convective line is parallel to the midlevel shear. There are indications that small-scale deforestation may have an effect on increasing rainfall in the wet season when the large-scale forcing is very weak.",NA,NA,webofscience,a case study of convective organization into precipitating lines in the southwest amazon during the wetamc and trmm-lba,paper_16
13,23,T.N. Maraseni,A comparative analysis of global stakeholders’ perceptions of the governance quality of the clean development mechanism (CDM) and reducing emissions from deforestation and forest degradation (REDD+),0,2015,International Journal of Environmental Studies,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84928630106&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84928630106&origin=inward,50,Article,10.1080/00207233.2014.993569,0020-7233,https://api.elsevier.com/content/abstract/scopus_id/84928630106,72,2,288,304,23,2.3,23,1,10,NA,NA,NA,scopus,a comparative analysis of global stakeholders’ perceptions of the governance quality of the clean development mechanism (cdm) and reducing emissions from deforestation and forest degradation (redd+),paper_17
14,0,K Forgues,A Comparison of Carbon Uptake Between Four Reforestation Designs in a Community Setting,0,2022,NA,search.proquest.com,https://search.proquest.com/openview/61f095f4db462b9a9d30de356f9750cf/1?pq-origsite=gscholar&cbl=18750&diss=y,NA,866,BOOK,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,3,… between different reforestation design’s carbon uptake potential and their relevance to community reforestation. By evaluating the carbon-capture of four reforestation designs in a …,https://escholarship.mcgill.ca/downloads/8k71np34j,"https://scholar.google.com/scholar?q=related:L1VahK8D9-EJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google,a comparison of carbon uptake between four reforestation designs in a community setting,paper_18
15,0,W.L. Wagner,A continental forest policy for North America?,1,2007,Forestry Chronicle,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=35648992587&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35648992587&origin=inward,101,Review,10.5558/tfc83658-5,0015-7546,https://api.elsevier.com/content/abstract/scopus_id/35648992587,83,5,658,665,0,0,0,1,18,NA,NA,NA,scopus,a continental forest policy for north america?,paper_20
16,98,LE Andersen,A cost-benefit analysis of deforestation in the Brazilian Amazon,0,2015,NA,econstor.eu,https://www.econstor.eu/handle/10419/220154,"https://scholar.google.com/scholar?cites=3601449811506069698&as_sdt=2005&sciodt=0,5&hl=en",516,NA,NA,NA,NA,NA,NA,NA,NA,98,9.8,98,1,10,"… It is shown that, at the current level of deforestation, the potential benefits of deforestation … be independent of deforestation-neither causing deforestation, nor depending on deforestation. …",https://www.econstor.eu/bitstream/10419/220154/1/dp_065.pdf,"https://scholar.google.com/scholar?q=related:woA3s4Xr-jEJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google,a cost-benefit analysis of deforestation in the brazilian amazon,paper_21
17,11,A Blom,A critical analysis of three approaches to tropical forest conservation based on experiences in the Sangha region,0,1998,Resource Use in the Trinational Sangha River Region …,websites.umich.edu,http://websites.umich.edu/~infosrn/PDF_FILES/ENGLISH_.PDF/SEC._3/BLOM.PDF,"https://scholar.google.com/scholar?cites=15907878755217199708&as_sdt=2005&sciodt=0,5&hl=en",247,PDF,NA,NA,NA,NA,NA,NA,NA,11,0.41,11,1,27,"… This progress was possible only after a long campaign of lobbying and information dissemination at all government levels, as well as an extensive information campaign in the diamond …",http://websites.umich.edu/~infosrn/PDF_FILES/ENGLISH_.PDF/SEC._3/BLOM.PDF,"https://scholar.google.com/scholar?q=related:XFK0vnEjxNwJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google,a critical analysis of three approaches to tropical forest conservation based on experiences in the sangha region,paper_22
18,34,"A Alexander, H Walker, I Delabre","A decision theory perspective on wicked problems, SDGs and stakeholders: the case of deforestation",1,2022,Journal of Business Ethics,Springer,https://link.springer.com/article/10.1007/s10551-022-05198-8,"https://scholar.google.com/scholar?cites=2572109984401253579&as_sdt=2005&sciodt=0,5&hl=en",274,HTML,10.1007/s10551-022-05198-8,NA,NA,NA,NA,NA,NA,34,11.33,11,3,3,"… of tropical deforestation? The issue of corporate responsibility for tropical deforestation linked to supply chains became particularly acute after an effective NGO campaign in 2010, …",https://link.springer.com/article/10.1007/s10551-022-05198-8,"https://scholar.google.com/scholar?q=related:y-R4N2f4sSMJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google,"a decision theory perspective on wicked problems, sdgs and stakeholders: the case of deforestation",paper_24
19,15,L.S. Iliadis,A heuristic expert system for forest fire guidance in Greece,0,2002,Journal of Environmental Management,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S030147970290592X,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036650182&origin=inward,47,Article,10.1006/jema.2002.0592,0301-4797,https://api.elsevier.com/content/abstract/scopus_id/0036650182,65,3,327,336,15,0.65,15,1,23,NA,NA,NA,scopus,a heuristic expert system for forest fire guidance in greece,paper_26
20,185,JC Ribot,A history of fear: imagining deforestation in the West African dryland forests,0,1999,Global Ecology and Biogeography,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2699.1999.00146.x,"https://scholar.google.com/scholar?cites=17104041948908543811&as_sdt=2005&sciodt=0,5&hl=en",228,NA,10.1046/j.1365-2699.1999.00146.x,NA,NA,NA,NA,NA,NA,185,7.12,185,1,26,"… to permanent deforestation in dryland forests and wooded savannas. Deforestation has also long … While there is deforestation from many causes, the data do not support crisis scenarios …",https://www.academia.edu/download/48700771/A_history_of_fear_imagining_deforestatio20160909-4520-lrx9df.pdf,"https://scholar.google.com/scholar?q=related:Q98SDIjDXe0J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google,a history of fear: imagining deforestation in the west african dryland forests,paper_28
21,2,"A Debus, E Beauchamp, J Acworth, A Ewolo, J Kamga…",A labelled dataset to classify direct deforestation drivers from Earth Observation imagery in Cameroon,0,2024,Scientific Data,nature.com,https://www.nature.com/articles/s41597-024-03384-z,"https://scholar.google.com/scholar?cites=783532374495527869&as_sdt=2005&sciodt=0,5&hl=en",603,HTML,NA,NA,NA,NA,NA,NA,NA,2,2,0,6,1,"… rise in primary forest and tree cover loss between 2016 and 2021 3 … deforestation and degradation dynamics, in order to make informed decisions to limit impacts 4 . Direct deforestation …",https://www.nature.com/articles/s41597-024-03384-z,"https://scholar.google.com/scholar?q=related:vQPTE4uq3woJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google,a labelled dataset to classify direct deforestation drivers from earth observation imagery in cameroon,paper_29
22,240,"SE Skaaning, J Gerring…",A lexical index of electoral democracy,0,2015,Comparative Political …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0010414015581050,"https://scholar.google.com/scholar?cites=14993977142511035479&as_sdt=2005&sciodt=0,5&hl=en",878,NA,10.1177/0010414015581050,NA,NA,NA,NA,NA,NA,240,24,80,3,10,"… definition and operationalization of democracy. One debate concerns whether democracy is best … Against this backdrop, we propose to operationalize electoral democracy as a series of …",https://pure.au.dk/portal/files/110316577/A_Lexical_Index_of_Electoral_Democracy_postprint_2015.pdf,"https://scholar.google.com/scholar?q=related:V2SyBcVOFdAJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google,a lexical index of electoral democracy,paper_30
23,1,A Mogambi-Moinani,A linguistic analysis of inclusiveness and exclusion in Kenya's Mau Forest conservation discourse,0,2023,Language &Ecology,NA,NA,"https://scholar.google.com/scholar?cites=13843841145936491197&as_sdt=2005&sciodt=0,5&hl=en",770,CITATION,NA,NA,NA,NA,NA,NA,NA,1,0.5,1,1,2,NA,NA,"https://scholar.google.com/scholar?q=related:vTJ7piw0H8AJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google,a linguistic analysis of inclusiveness and exclusion in kenya's mau forest conservation discourse,paper_31
24,654,"SG Zolkos, SJ Goetz, R Dubayah",A meta-analysis of terrestrial aboveground biomass estimation using lidar remote sensing,0,2013,Remote sensing of environment,Elsevier,https://www.sciencedirect.com/science/article/pii/S0034425712004051,"https://scholar.google.com/scholar?cites=4908582612264425347&as_sdt=2005&sciodt=0,5&hl=en",964,NA,NA,NA,NA,NA,NA,NA,NA,654,54.5,218,3,12,… for reducing carbon emissions associated with deforestation and forest degradation (REDD). … – but also so that other benefits of forest conservation can be factored into decision making (…,https://www.researchgate.net/profile/Scott-Goetz-2/publication/256850071_A_meta-analysis_of_terrestrial_aboveground_biomass_estimation_using_lidar_remote_sensing/links/59e7d21ba6fdccfe7f8afe65/A-meta-analysis-of-terrestrial-aboveground-biomass-estimation-using-lidar-remote-sensing.pdf,"https://scholar.google.com/scholar?q=related:gxeuCuHJHkQJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google,a meta-analysis of terrestrial aboveground biomass estimation using lidar remote sensing,paper_32
25,76,"JA Sobrino, B Franch, C Mattar…",A method to estimate soil moisture from Airborne Hyperspectral Scanner (AHS) and ASTER data: Application to SEN2FLEX and SEN3EXP campaigns,0,2012,Remote sensing of …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0034425711003750,"https://scholar.google.com/scholar?cites=13720991795269903432&as_sdt=2005&sciodt=0,5&hl=en",955,NA,NA,NA,NA,NA,NA,NA,NA,76,5.85,19,4,13,In this paper the soil moisture is estimated at airborne level and at satellite level by combining remotely sensed images with in situ measurements. At airborne level we process high-…,https://www.academia.edu/download/46269677/A_method_to_estimate_soil_moisture_from_20160606-8339-bbmx5g.pdf,"https://scholar.google.com/scholar?q=related:SKQcQ1fBar4J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google,a method to estimate soil moisture from airborne hyperspectral scanner (ahs) and aster data: application to sen2flex and sen3exp campaigns,paper_33
26,0,H. Güdücüoğlu,A One Health Approach to Zoonotic Diseases in Extraordinary and Ordinary Circumstances,0,2024,Balkan Medical Journal,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197809372&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85197809372&origin=inward,53,Editorial,10.4274/balkanmedj.galenos.2024.2024-140624,2146-3123,https://api.elsevier.com/content/abstract/scopus_id/85197809372,41,4,236,238,0,0,0,1,1,NA,NA,NA,scopus,a one health approach to zoonotic diseases in extraordinary and ordinary circumstances,paper_36
27,0,M. O'Thomas,A paradigm of populism: The return to censorship in Bolsonaro's Brazil,0,2024,The Palgrave Handbook of Theatre Censorship,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105002000037&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105002000037&origin=inward,62,Book Chapter,10.1007/978-3-031-67299-6_29,NA,https://api.elsevier.com/content/abstract/scopus_id/105002000037,NA,NA,485,502,0,0,0,1,1,NA,NA,NA,scopus,a paradigm of populism: the return to censorship in bolsonaro's brazil,paper_37
