Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,L Staff,Auditor Reports Severe Deficiencies In President Felipe Calderon Administration's Reforestation Program,2009,,digitalrepository.unm.edu,https://digitalrepository.unm.edu/cgi/viewcontent.cgi?article=6289&context=sourcemex,,114,PDF,,,,,,,,0,0,0,1,16,… Calderon's administration launched its Proarbol campaign in 2007 as a major … campaign in March 2007 shortly after the UN sounded the alarm about Mexico's high rate of deforestation…,https://digitalrepository.unm.edu/cgi/viewcontent.cgi?article=6289&context=sourcemex,"https://scholar.google.com/scholar?q=related:SPVdnpGzDrYJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
37,MS Park,Media discourse in forest communication: the issue of forest conservation in the Korean and global media,2009,,Cuvillier Verlag,,"https://scholar.google.com/scholar?cites=18165278798550883993&as_sdt=2005&sciodt=0,5&hl=en",126,CITATION,,,,,,,,37,2.31,37,1,16,,,"https://scholar.google.com/scholar?q=related:mV6P0dIIGPwJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
0,"RA Houghton, D Skole, B Moore, J Melillo, P Steudler",The role of tropical deforestation in the global carbon cycle: Spatial and temporal dynamics,1995,,ntrs.nasa.gov,https://ntrs.nasa.gov/citations/19960003385,,140,,,,,,,,,0,0,0,5,30,… could attend several NASA-sponsored meetings and prepare a white paper to help develop a science plan for the Terrestrial Ecology component of a major NASA-Brazilian campaign …,https://ntrs.nasa.gov/api/citations/19960003385/downloads/19960003385.pdf,"https://scholar.google.com/scholar?q=related:mXrkdPTp8NsJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
41,G Lang,"Deforestation, floods, and state reactions in China and Thailand",2002,,cityu.edu.hk,https://www.cityu.edu.hk/searc/Resources/Paper/WP21_02_Lang.pdf,"https://scholar.google.com/scholar?cites=16928060903038711361&as_sdt=2005&sciodt=0,5&hl=en",142,BOOK,,,,,,,,41,1.78,41,1,23,"… Not facing periodic elections, the regime could afford to take a long-term view of policies to … Reforestation and forest conservation were periodically disrupted by political campaigns, …",https://www.cityu.edu.hk/searc/Resources/Paper/WP21_02_Lang.pdf,"https://scholar.google.com/scholar?q=related:QfbM3bON7OoJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
0,J Hinkle,Deforestation in Brazil's Amazon and the Effects on Its Position in International Politics,2024,,digitalcommons.liberty.edu,https://digitalcommons.liberty.edu/hsgconference/2024/foreign_policy/17/,,161,,,,,,,,,0,0,0,1,1,"Latin America is a land of potential for economic growth, the expansion of democracy, and international political influence. The United States has historically had political and economic …",https://digitalcommons.liberty.edu/cgi/viewcontent.cgi?article=1482&context=hsgconference,"https://scholar.google.com/scholar?q=related:HTjCfERtZ-oJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
585,D Humphreys,Logjam: Deforestation and the crisis of global governance,2012,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9781849771863/logjam-david-humphreys,"https://scholar.google.com/scholar?cites=7301236701442566221&as_sdt=2005&sciodt=0,5&hl=en",169,BOOK,10.4324/9781849771863,,,,,,,585,45,585,1,13,"… Forest conservation has captured the attention of the public, at least in developed countries, … All of us who are concerned with forest conservation have our own views on what might be …",https://www.academia.edu/download/86125323/s037689290700394320220518-1-1mm9ffy.pdf,"https://scholar.google.com/scholar?q=related:TWiHqhg0U2UJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
10,"S Schwartzman, P Moutinho, S Hamburg",Policy Update: Amazon deforestation and Brazil's forest code: a crossroads for climate change,2012,,Taylor &Francis,https://www.tandfonline.com/doi/full/10.4155/cmt.12.34,"https://scholar.google.com/scholar?cites=15006967595522147934&as_sdt=2005&sciodt=0,5&hl=en",171,HTML,10.4155/cmt.12.34,,,,,,,10,0.77,3,3,13,… amnesty for illegal deforestation up to 2008. A massive public campaign calling on the … amnesty for past illegal deforestation and ensure no new deforestation. But the procedural …,https://www.tandfonline.com/doi/full/10.4155/cmt.12.34,"https://scholar.google.com/scholar?q=related:XkbljoR1Q9AJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
0,E Harding,Barbados: Reforestation Campaign,1992,,digitalrepository.unm.edu,https://digitalrepository.unm.edu/cgi/viewcontent.cgi?article=9252&context=notisur,,173,,,,,,,,,0,0,0,1,33,"Barbados: Reforestation Campaign … Barbados: Reforestation Campaign."" (1992). https://digitalrepository.unm.edu/notisur/8253 … Barbados: Reforestation Campaign …",,"https://scholar.google.com/scholar?q=related:SYstsbp3aFgJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
0,"WZ Lim, E Håvarstein",Intergovernmental transfers in brazil: corruption and deforestation,2019,,openaccess.nhh.no,https://openaccess.nhh.no/nhh-xmlui/handle/11250/2609470,,174,,,,,,,,,0,0,0,2,6,This paper investigates the effect of additional governmental transfers on several different measures of deforestation for the years between 1997 and 2016. We use comprehensive …,https://openaccess.nhh.no/nhh-xmlui/bitstream/handle/11250/2609470/masterthesis.PDF?sequence=1&isAllowed=y,"https://scholar.google.com/scholar?q=related:s01NXWlYaf0J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
0,"N Kavelius, M Çürük",The effect of trade sanctions on deforestation.,2024,,arno.uvt.nl,http://arno.uvt.nl/show.cgi?fid=181409,,182,PDF,,,,,,,,0,0,0,2,1,… We find that deforestation rates decreased in sanctioned years. Developing Tropical … percent point higher deforestation rate. This effect worsens in years with close elections. Not having …,http://arno.uvt.nl/show.cgi?fid=181409,"https://scholar.google.com/scholar?q=related:3VFk8yvdhGoJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
0,MK Minlah,Determinants Of Deforestation In Ghana,2011,,publication.aercafricalibrary.org,https://publication.aercafricalibrary.org/handle/123456789/2081,,184,,,,,,,,,0,0,0,1,14,"… Deforestation is one of the major environmental challenges facing Ghana. Today, the impacts of deforestation continue to … Democracy has a role to play in the deforestation process. It is …",https://publication.aercafricalibrary.org/bitstream/handle/123456789/2081/Michael%20cmap%20thesis.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:GXqpMiVFzEsJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
0,V Oceguera,The Intersection of Deforestation and Economic Growth in the Brazilian Amazon,2019,,research.library.fordham.edu,https://research.library.fordham.edu/environ_2015/103/,,200,,,,,,,,,0,0,0,1,6,… of deforestation in Brazil. Chapter 3 engages politics in Brazil to discuss interactions between key actors involved in the perpetuation of deforestation. … in the deforestation of Brazil’s …,https://research.library.fordham.edu/cgi/viewcontent.cgi?article=1103&context=environ_2015,"https://scholar.google.com/scholar?q=related:vWLXFqZqDXYJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
9,T Cadman,The clearcut case: how the Kyoto Protocol could become a driver for deforestation,1998,,awsassets.panda.org,http://awsassets.panda.org/downloads/clearcut_entire.pdf,"https://scholar.google.com/scholar?cites=9327038174271497918&as_sdt=2005&sciodt=0,5&hl=en",203,BOOK,,,,,,,,9,0.33,9,1,27,This report challenges the widely held assumption that carbon sequestration projects–so called “sinks”–are environmentally advantageous. The evidence presented shows instead that …,http://awsassets.panda.org/downloads/clearcut_entire.pdf,"https://scholar.google.com/scholar?q=related:vub1f81LcIEJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
8,G Thoumi,Emeralds on the equator: An avoided deforestation carbon markets strategy manual,2008,,deepblue.lib.umich.edu,https://deepblue.lib.umich.edu/handle/2027.42/61353,"https://scholar.google.com/scholar?cites=12123866333221302081&as_sdt=2005&sciodt=0,5&hl=en",205,,,,,,,,,8,0.47,8,1,17,"… can be packaged into an awareness campaign that attracts new category users by … deforestation projects that provide buyers the capacity to comparison shop, the avoided deforestation …",https://deepblue.lib.umich.edu/bitstream/handle/2027.42/61353/thoumi%20thesis%202008.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:QS_57zGgQKgJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
0,HIW Done,Brazil's Success in Reducing Deforestation,2011,,ucsusa.org,https://www.ucsusa.org/sites/default/files/2019-09/Brazil-s-Success-in-Reducing-Deforestation.pdf,,212,PDF,,,,,,,,0,0,0,1,14,"… Now, with the national plan to end deforestation clearly ahead of schedule, the Zero Deforestation campaign is pushing for a new goal of zero deforestation by 2015. Norway, too, …",https://www.ucsusa.org/sites/default/files/2019-09/Brazil-s-Success-in-Reducing-Deforestation.pdf,"https://scholar.google.com/scholar?q=related:ZTRt6GtVsJQJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
4,"A Lal, S Gulzar, B Pasquale",Political Decentralization and Forest Conservation: Evidence from India's Scheduled Areas,2020,,cega.berkeley.edu,https://cega.berkeley.edu/wp-content/uploads/2020/03/Lal_PacDev2020.pdf,"https://scholar.google.com/scholar?cites=17170942388473541149&as_sdt=2005&sciodt=0,5&hl=en",217,PDF,,,,,,,,4,0.8,1,3,5,"… -scheduled areas, already had local-elections through the original 73rd amendment, which … elections) and reservations for Scheduled Tribes (scheduled areas) on deforestation, and …",https://cega.berkeley.edu/wp-content/uploads/2020/03/Lal_PacDev2020.pdf,"https://scholar.google.com/scholar?q=related:HbKpcyBxS-4J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
0,SLA Herschmann,Speech and deforestation: evidence from the impact of Bolsonaro's tweets in the brazilian amazon,2020,,repositorio.fgv.br,https://repositorio.fgv.br/bitstream/10438/30421/1/Herschmann_Thesis_final.pdf,,224,PDF,,,,,,,,0,0,0,1,5,… I find evidence of the effect of his speech on deforestation. One standard deviation … deforestation in municipalities that supported him than municipalities that did not. The …,https://repositorio.fgv.br/bitstream/10438/30421/1/Herschmann_Thesis_final.pdf,"https://scholar.google.com/scholar?q=related:xqx2huC9MKQJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
0,L Leach,Factors shaping reforestation outcomes in Madagascar.,2024,,kew.iro.bl.uk,https://kew.iro.bl.uk/downloads/6edc85df-0fb8-4064-b307-64476012ebaf,,227,PDF,,,,,,,,0,0,0,1,1,"… While 351 this study focused on reforestation of protected areas where forest degradation had taken 352 place, it is impossible to discuss reforestation without acknowledging the …",https://kew.iro.bl.uk/downloads/6edc85df-0fb8-4064-b307-64476012ebaf,"https://scholar.google.com/scholar?q=related:WdkxAuGjJLgJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
