"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL","source_dataset","title_lower","unique_id"
"11",0,NA,"2023 5th International Conference on Resources and Environment Sciences, ICRES 2023",2023,"E3S Web of Conferences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85172695025&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85172695025&origin=inward",124,"Conference Review",NA,"2555-0403","https://api.elsevier.com/content/abstract/scopus_id/85172695025",422,NA,NA,NA,0,0,0,0,2,NA,NA,NA,"scopus","2023 5th international conference on resources and environment sciences, icres 2023","paper_11"
"12",0,"TOM PICKEN, W WARMERDAM, M GREGORY…","4.2 Decoupling international finance from deforestation, and the need for regulation",NA,"Zero deforestation: A …","bvrio.org","https://www.bvrio.org/wp-content/uploads/2022/08/Zero_deforestation_A_commitment_to_change.pdf#page=141",NA,716,"PDF",NA,NA,NA,NA,NA,NA,NA,0,0,0,4,NA,"… efforts to address deforestation and human rights issues in the production of forestrisk commodities such as palm oil, pulp and paper, rubber and timber have resulted in a surge of …","https://www.bvrio.org/wp-content/uploads/2022/08/Zero_deforestation_A_commitment_to_change.pdf#page=141","https://scholar.google.com/scholar?q=related:kB4bQLMGzGYJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","4.2 decoupling international finance from deforestation, and the need for regulation","paper_12"
"13",1,"JA Devine","4| Multiple Trajectories of Globalisation: Deforestation in Guatemala's Protected Areas",2022,"Ethnographies of Power, Working Radical Concepts …","library.oapen.org","https://library.oapen.org/bitstream/handle/20.500.12657/57561/1/9781776146833.pdf#page=112","https://scholar.google.com/scholar?cites=17683342888743093820&as_sdt=2005&sciodt=0,5&hl=en",517,"PDF",NA,NA,NA,NA,NA,NA,NA,1,0.33,1,1,3,"… Third, I ‘translate’the concept to think alongside Hart in Guatemala’s northern forests where I study the multiple trajectories of globalisation driving deforestation in protected areas, which …","https://library.oapen.org/bitstream/handle/20.500.12657/57561/1/9781776146833.pdf#page=112","https://scholar.google.com/scholar?q=related:PEb2vKraZ_UJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","4| multiple trajectories of globalisation: deforestation in guatemala's protected areas","paper_13"
"14",71,"SS Nunes, JOS Barlow, TA Gardner…","A 22 year assessment of deforestation and restoration in riparian forests in the eastern Brazilian Amazon",2015,"Environmental …","cambridge.org","https://www.cambridge.org/core/journals/environmental-conservation/article/22-year-assessment-of-deforestation-and-restoration-in-riparian-forests-in-the-eastern-brazilian-amazon/5EB0E30FD4A45DDDE2C9E9BBE10E779F","https://scholar.google.com/scholar?cites=3558213908943450594&as_sdt=2005&sciodt=0,5&hl=en",225,NA,NA,NA,NA,NA,NA,NA,NA,71,7.1,18,4,10,"… Since entering the list, Paragominas was targeted by federal government actions to control deforestation, including an intensified monitoring campaign by the Brazilian Institute of …","http://aliancaamazonia.org.br/wp-content/pdf/22_year_assessment_of_deforestation_and_restoration_in_riparian_forests_in_the_eastern_brazilian_amazon.pdf","https://scholar.google.com/scholar?q=related:4rFtrbJQYTEJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","a 22 year assessment of deforestation and restoration in riparian forests in the eastern brazilian amazon","paper_14"
"15",2,"D.H. Hoekman","A brief review of microwave forest signature measurements in the Netherlands and the perspective for a European research programme",1990,"International Journal of Remote Sensing",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0025570960&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025570960&origin=inward",37,"Article","10.1080/01431169008955088","0143-1161","https://api.elsevier.com/content/abstract/scopus_id/0025570960",11,"7",1193,"1203",2,0.06,2,1,35,NA,NA,NA,"scopus","a brief review of microwave forest signature measurements in the netherlands and the perspective for a european research programme","paper_15"
"16",35,"Dias, MAFS; Petersen, W; Dias, PLS; Cifelli, R; Betts, AK; Longo, M; Gomes, AM; Fisch, GF; Lima, MA; Antonio, MA; Albrecht, RI","A case study of convective organization into precipitating lines in the Southwest Amazon during the WETAMC and TRMM-LBA",2002,"JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","AMER GEOPHYSICAL UNION","http://dx.doi.org/10.1029/2001JD000375",NA,NA,"Article","10.1029/2001JD000375","2169-897X",NA,107,"D20",NA,NA,NA,NA,NA,NA,NA,"A case study of convective development in the Southwest Amazon region during the Wet Season Atmospheric Mesoscale Campaign (WETAMC) and Tropical Rainfall Measuring Mission (TRMM)/Large-Scale Biosphere-Atmosphere (LBA) Experiment in Amazonia is presented. The convective development during 7 February 1999 is shown to occur during a period of very weak large-scale forcing in the presence of topography and deforestation. The available data include dual Doppler radar analysis, radiosonde launches, and surface and boundary layer observations. The observational analysis is complemented with a series of model simulations using the RAMS with 2-km resolution over a 300 km 300 km area forced by a morning radiosonde profile. A comparison of the observed and simulated thermodynamic transformation of the boundary layer and of the formation of convective lines, and of their kinematic and microphysical properties is presented. It is shown that only a few very deep and intense convective cells are necessary to explain the overall precipitating line formation and that discrete propagation and coupling with upper atmosphere circulations may explain the appearance of several lines. The numerical simulation indicates that topography may be the cause of initial convective development, although later on the convective line is parallel to the midlevel shear. There are indications that small-scale deforestation may have an effect on increasing rainfall in the wet season when the large-scale forcing is very weak.",NA,NA,"webofscience","a case study of convective organization into precipitating lines in the southwest amazon during the wetamc and trmm-lba","paper_16"
"17",23,"T.N. Maraseni","A comparative analysis of global stakeholders’ perceptions of the governance quality of the clean development mechanism (CDM) and reducing emissions from deforestation and forest degradation (REDD+)",2015,"International Journal of Environmental Studies",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84928630106&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84928630106&origin=inward",50,"Article","10.1080/00207233.2014.993569","0020-7233","https://api.elsevier.com/content/abstract/scopus_id/84928630106",72,"2",288,"304",23,2.3,23,1,10,NA,NA,NA,"scopus","a comparative analysis of global stakeholders’ perceptions of the governance quality of the clean development mechanism (cdm) and reducing emissions from deforestation and forest degradation (redd+)","paper_17"
"18",0,"K Forgues","A Comparison of Carbon Uptake Between Four Reforestation Designs in a Community Setting",2022,NA,"search.proquest.com","https://search.proquest.com/openview/61f095f4db462b9a9d30de356f9750cf/1?pq-origsite=gscholar&cbl=18750&diss=y",NA,866,"BOOK",NA,NA,NA,NA,NA,NA,NA,0,0,0,1,3,"… between different reforestation design’s carbon uptake potential and their relevance to community reforestation. By evaluating the carbon-capture of four reforestation designs in a …","https://escholarship.mcgill.ca/downloads/8k71np34j","https://scholar.google.com/scholar?q=related:L1VahK8D9-EJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","a comparison of carbon uptake between four reforestation designs in a community setting","paper_18"
"19",28,"S Fritz, JC Laso Bayas, L See…","A continental assessment of the drivers of tropical deforestation with a focus on protected areas",2022,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fcosc.2022.830248/full","https://scholar.google.com/scholar?cites=13696103730831126256&as_sdt=2005&sciodt=0,5&hl=en",79,"HTML","10.3389/fcosc.2022.830248",NA,NA,NA,NA,NA,NA,28,9.33,7,4,3,"… Moreover, the drivers identified in the imagery may only be potential drivers of deforestation. We asked the volunteers in the crowdsourcing campaign to select the most recent imagery …","https://www.frontiersin.org/articles/10.3389/fcosc.2022.830248/full","https://scholar.google.com/scholar?q=related:8G4XM8dVEr4J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","a continental assessment of the drivers of tropical deforestation with a focus on protected areas","paper_19"
"20",0,"W.L. Wagner","A continental forest policy for North America?",2007,"Forestry Chronicle",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=35648992587&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35648992587&origin=inward",101,"Review","10.5558/tfc83658-5","0015-7546","https://api.elsevier.com/content/abstract/scopus_id/35648992587",83,"5",658,"665",0,0,0,1,18,NA,NA,NA,"scopus","a continental forest policy for north america?","paper_20"
"21",98,"LE Andersen","A cost-benefit analysis of deforestation in the Brazilian Amazon",2015,NA,"econstor.eu","https://www.econstor.eu/handle/10419/220154","https://scholar.google.com/scholar?cites=3601449811506069698&as_sdt=2005&sciodt=0,5&hl=en",516,NA,NA,NA,NA,NA,NA,NA,NA,98,9.8,98,1,10,"… It is shown that, at the current level of deforestation, the potential benefits of deforestation … be independent of deforestation-neither causing deforestation, nor depending on deforestation. …","https://www.econstor.eu/bitstream/10419/220154/1/dp_065.pdf","https://scholar.google.com/scholar?q=related:woA3s4Xr-jEJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","a cost-benefit analysis of deforestation in the brazilian amazon","paper_21"
"22",11,"A Blom","A critical analysis of three approaches to tropical forest conservation based on experiences in the Sangha region",1998,"Resource Use in the Trinational Sangha River Region …","websites.umich.edu","http://websites.umich.edu/~infosrn/PDF_FILES/ENGLISH_.PDF/SEC._3/BLOM.PDF","https://scholar.google.com/scholar?cites=15907878755217199708&as_sdt=2005&sciodt=0,5&hl=en",247,"PDF",NA,NA,NA,NA,NA,NA,NA,11,0.41,11,1,27,"… This progress was possible only after a long campaign of lobbying and information dissemination at all government levels, as well as an extensive information campaign in the diamond …","http://websites.umich.edu/~infosrn/PDF_FILES/ENGLISH_.PDF/SEC._3/BLOM.PDF","https://scholar.google.com/scholar?q=related:XFK0vnEjxNwJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","a critical analysis of three approaches to tropical forest conservation based on experiences in the sangha region","paper_22"
"23",59,"S Marquart-Pyatt","A cross-national investigation of deforestation, debt, state fiscal capacity, and the environmental Kuznets Curve",2004,"International Journal of Sociology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/00207659.2004.11043128","https://scholar.google.com/scholar?cites=683314849072096437&as_sdt=2005&sciodt=0,5&hl=en",54,NA,"10.1080/00207659.2004.11043128",NA,NA,NA,NA,NA,NA,59,2.81,59,1,21,"… With the exception of measures pertaining to forests (both deforestation and forest stock) and democracy, the data used in this study are from World Bank sources (1997a, 1997b). …","https://scholar.google.com/scholar?output=instlink&q=info:tSSxIDyfewkJ:scholar.google.com/&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025&scillfp=13527844866222279007&oi=lle","https://scholar.google.com/scholar?q=related:tSSxIDyfewkJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","a cross-national investigation of deforestation, debt, state fiscal capacity, and the environmental kuznets curve","paper_23"
"24",34,"A Alexander, H Walker, I Delabre","A decision theory perspective on wicked problems, SDGs and stakeholders: the case of deforestation",2022,"Journal of Business Ethics","Springer","https://link.springer.com/article/10.1007/s10551-022-05198-8","https://scholar.google.com/scholar?cites=2572109984401253579&as_sdt=2005&sciodt=0,5&hl=en",274,"HTML","10.1007/s10551-022-05198-8",NA,NA,NA,NA,NA,NA,34,11.33,11,3,3,"… of tropical deforestation? The issue of corporate responsibility for tropical deforestation linked to supply chains became particularly acute after an effective NGO campaign in 2010, …","https://link.springer.com/article/10.1007/s10551-022-05198-8","https://scholar.google.com/scholar?q=related:y-R4N2f4sSMJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","a decision theory perspective on wicked problems, sdgs and stakeholders: the case of deforestation","paper_24"
"25",248,"J Lean, PR Rowntree","A GCM simulation of the impact of Amazonian deforestation on climate using an improved canopy representation",1993,"Quarterly Journal of the Royal …","Wiley Online Library","https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.49711951109","https://scholar.google.com/scholar?cites=12037536450854044724&as_sdt=2005&sciodt=0,5&hl=en",133,NA,"10.1002/qj.49711951109",NA,NA,NA,NA,NA,NA,248,7.75,124,2,32,"… of tropical deforestation on climate we … of deforestation on climate. The observations presented in this section represent both climatological averages and data from the 2-year campaign …","https://scholar.google.com/scholar?output=instlink&q=info:NMT425_rDacJ:scholar.google.com/&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025&scillfp=18239148265775101685&oi=lle","https://scholar.google.com/scholar?q=related:NMT425_rDacJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","a gcm simulation of the impact of amazonian deforestation on climate using an improved canopy representation","paper_25"
"26",15,"L.S. Iliadis","A heuristic expert system for forest fire guidance in Greece",2002,"Journal of Environmental Management",NA,"https://api.elsevier.com/content/article/eid/1-s2.0-S030147970290592X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036650182&origin=inward",47,"Article","10.1006/jema.2002.0592","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/0036650182",65,"3",327,"336",15,0.65,15,1,23,NA,NA,NA,"scopus","a heuristic expert system for forest fire guidance in greece","paper_26"
"27",3,"J Liu, C Sheng","A historic review of deforestation and afforestation in North Korea",2023,"Third World Quarterly","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/01436597.2023.2233918","https://scholar.google.com/scholar?cites=12871472753504347587&as_sdt=2005&sciodt=0,5&hl=en",505,NA,"10.1080/01436597.2023.2233918",NA,NA,NA,NA,NA,NA,3,1.5,2,2,2,"Forest cover loss in the DPRK is intrinsically related to food insecurity and energy insufficiency. This study used qualitative research methods to understand the deforestation and …","https://scholar.google.com/scholar?output=instlink&q=info:w-W--EWooLIJ:scholar.google.com/&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025&scillfp=6361987950313330989&oi=lle","https://scholar.google.com/scholar?q=related:w-W--EWooLIJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","a historic review of deforestation and afforestation in north korea","paper_27"
